image_filename,image_size,year,month,day,hour,min,sec,lon,lat,gSpeed,heading
frame000228_1718605495.333023.png,"(1136, 986)",2024,6,17,6,24,54,5.441701889038086,43.22783660888672,1099.0,354.2186584472656
frame000232_1718605496.405823.png,"(1136, 986)",2024,6,17,6,24,55,5.441699981689453,43.22784805297852,1097.0,352.3464050292969
frame000236_1718605497.429641.png,"(1136, 986)",2024,6,17,6,24,56,5.441697597503662,43.22785949707031,1133.0,349.6141662597656
frame000240_1718605498.492152.png,"(1136, 986)",2024,6,17,6,24,57,5.4416937828063965,43.22787094116211,1133.0,345.6713256835937
frame000243_1718605499.240925.png,"(1136, 986)",2024,6,17,6,24,58,5.441690444946289,43.22787857055664,1118.0,342.6451721191406
frame000246_1718605499.959020.png,"(1136, 986)",2024,6,17,6,25,0,5.441689491271973,43.2278938293457,1095.0,1.3502899408340454
frame000253_1718605501.851120.png,"(1136, 986)",2024,6,17,6,25,1,5.441689014434815,43.2279052734375,1124.0,356.694580078125
frame000255_1718605502.344214.png,"(1136, 986)",2024,6,17,6,25,1,5.441688537597656,43.2279052734375,1148.0,354.6091613769531
frame000259_1718605503.457418.png,"(1136, 986)",2024,6,17,6,25,2,5.441686630249023,43.2279167175293,1198.0,353.2626342773437
frame000263_1718605504.494732.png,"(1136, 986)",2024,6,17,6,25,3,5.441684722900391,43.22792816162109,1174.0,351.1376037597656
frame000269_1718605505.902406.png,"(1136, 986)",2024,6,17,6,25,5,5.441686630249023,43.22794342041016,1053.0,20.472530364990234
frame000271_1718605506.403390.png,"(1136, 986)",2024,6,17,6,25,6,5.44169282913208,43.22795104980469,1004.0,29.256149291992188
frame000276_1718605507.647179.png,"(1136, 986)",2024,6,17,6,25,7,5.4417009353637695,43.22795867919922,1000.0,42.01958084106445
frame000280_1718605508.615087.png,"(1136, 986)",2024,6,17,6,25,8,5.441710472106934,43.22796249389648,977.0,53.950870513916016
frame000284_1718605509.751863.png,"(1136, 986)",2024,6,17,6,25,9,5.4417219161987305,43.22796630859375,1010.0,72.6577377319336
frame000285_1718605509.981911.png,"(1136, 986)",2024,6,17,6,25,10,5.441731452941895,43.22796630859375,1056.0,77.5069580078125
frame000290_1718605511.250340.png,"(1136, 986)",2024,6,17,6,25,11,5.441748142242432,43.227970123291016,1154.0,76.27098846435547
frame000294_1718605512.225762.png,"(1136, 986)",2024,6,17,6,25,12,5.441761493682861,43.22797393798828,1084.0,72.7109375
frame000299_1718605513.507046.png,"(1136, 986)",2024,6,17,6,25,12,5.441764831542969,43.22797393798828,1128.0,73.06279754638672
frame000303_1718605514.557081.png,"(1136, 986)",2024,6,17,6,25,13,5.441778182983398,43.22797775268555,1176.0,68.95368957519531
frame000306_1718605515.536564.png,"(1136, 986)",2024,6,17,6,25,15,5.441789627075195,43.22797393798828,793.0,173.1849365234375
frame000310_1718605516.527785.png,"(1136, 986)",2024,6,17,6,25,15,5.441788196563721,43.227970123291016,862.0,191.19284057617188
frame000318_1718605518.581997.png,"(1136, 986)",2024,6,17,6,25,18,5.441789150238037,43.22795104980469,969.0,141.6787567138672
frame000322_1718605519.436524.png,"(1136, 986)",2024,6,17,6,25,18,5.441791534423828,43.22794723510742,1014.0,132.2698516845703
frame000326_1718605520.489305.png,"(1136, 986)",2024,6,17,6,25,20,5.441806316375732,43.22795486450195,931.0,21.399089813232425
frame000329_1718605521.311522.png,"(1136, 986)",2024,6,17,6,25,20,5.441805362701416,43.22795486450195,999.0,359.1480712890625
frame000333_1718605522.268608.png,"(1136, 986)",2024,6,17,6,25,21,5.441803455352783,43.22796630859375,1139.0,359.1627502441406
frame000338_1718605523.517648.png,"(1136, 986)",2024,6,17,6,25,23,5.441820621490479,43.22797393798828,1134.0,70.2935562133789
frame000342_1718605524.508208.png,"(1136, 986)",2024,6,17,6,25,23,5.441823959350586,43.22797393798828,1142.0,75.99433898925781
frame000347_1718605525.855929.png,"(1136, 986)",2024,6,17,6,25,24,5.441842079162598,43.22797393798828,1210.0,90.76258850097656
frame000350_1718605526.521766.png,"(1136, 986)",2024,6,17,6,25,26,5.441864013671875,43.22797393798828,1182.0,89.16634368896484
frame000354_1718605527.496737.png,"(1136, 986)",2024,6,17,6,25,27,5.441878318786621,43.22797775268555,1275.0,80.82137298583984
frame000359_1718605528.874643.png,"(1136, 986)",2024,6,17,6,25,28,5.441894054412842,43.22797775268555,1290.0,77.16680145263672
frame000362_1718605529.574395.png,"(1136, 986)",2024,6,17,6,25,29,5.441908836364746,43.22798156738281,1244.0,78.30217742919922
frame000365_1718605530.301041.png,"(1136, 986)",2024,6,17,6,25,30,5.441924095153809,43.22798538208008,1256.0,74.06684112548828
frame000369_1718605531.202075.png,"(1136, 986)",2024,6,17,6,25,31,5.441938877105713,43.227989196777344,1209.0,76.32952117919922
frame000374_1718605532.417193.png,"(1136, 986)",2024,6,17,6,25,31,5.4419426918029785,43.227989196777344,1210.0,81.84976959228516
frame000379_1718605533.542228.png,"(1136, 986)",2024,6,17,6,25,33,5.4419684410095215,43.227989196777344,1269.0,76.89244842529297
frame000383_1718605534.552006.png,"(1136, 986)",2024,6,17,6,25,33,5.441972255706787,43.227989196777344,1258.0,76.60128784179688
frame000387_1718605535.528617.png,"(1136, 986)",2024,6,17,6,25,35,5.441998958587647,43.22799682617188,1285.0,74.211181640625
frame000390_1718605536.220119.png,"(1136, 986)",2024,6,17,6,25,35,5.442002773284912,43.22799682617188,1253.0,73.99411010742188
frame000394_1718605537.249238.png,"(1136, 986)",2024,6,17,6,25,37,5.442028045654297,43.228004455566406,1240.0,70.35440063476562
frame000400_1718605538.664376.png,"(1136, 986)",2024,6,17,6,25,38,5.44204568862915,43.22800827026367,1209.0,70.06143951416016
frame000405_1718605539.914700.png,"(1136, 986)",2024,6,17,6,25,39,5.442059516906738,43.22801208496094,1183.0,71.12503814697266
frame000408_1718605540.606889.png,"(1136, 986)",2024,6,17,6,25,39,5.442063331604004,43.22801208496094,1187.0,71.61322021484375
frame000412_1718605541.544406.png,"(1136, 986)",2024,6,17,6,25,40,5.442077159881592,43.2280158996582,1211.0,72.07112121582031
frame000416_1718605542.531983.png,"(1136, 986)",2024,6,17,6,25,41,5.442091941833496,43.22801971435547,1259.0,71.2588119506836
frame000421_1718605543.643706.png,"(1136, 986)",2024,6,17,6,25,42,5.442105770111084,43.228023529052734,1192.0,70.40889739990234
frame000426_1718605544.847052.png,"(1136, 986)",2024,6,17,6,25,44,5.442129135131836,43.22803115844727,1250.0,65.67108154296875
frame000429_1718605545.608423.png,"(1136, 986)",2024,6,17,6,25,44,5.442132949829102,43.22803115844727,1214.0,65.96868896484375
frame000433_1718605546.632075.png,"(1136, 986)",2024,6,17,6,25,45,5.442147254943848,43.22803497314453,1255.0,67.2325210571289
frame000437_1718605547.531941.png,"(1136, 986)",2024,6,17,6,25,47,5.442171096801758,43.22804260253906,1244.0,60.03226852416992
frame000441_1718605548.496030.png,"(1136, 986)",2024,6,17,6,25,47,5.442173957824707,43.22804641723633,1201.0,58.86383056640625
frame000445_1718605549.655437.png,"(1136, 986)",2024,6,17,6,25,49,5.442196369171143,43.22805404663086,1100.0,69.27147674560547
frame000449_1718605550.589633.png,"(1136, 986)",2024,6,17,6,25,50,5.442209720611572,43.22805404663086,1129.0,100.90277099609376
frame000454_1718605551.681208.png,"(1136, 986)",2024,6,17,6,25,51,5.442215919494629,43.22804641723633,837.0,159.0402069091797
frame000458_1718605552.905548.png,"(1136, 986)",2024,6,17,6,25,51,5.442215442657471,43.22804641723633,882.0,175.84616088867188
